k,a_k
0,1.0
1,-1.9375
2,0.892578125
3,1.9323323567708333333333333333333333333333333333333333333333333333333333333333333
4,-2.0106499989827473958333333333333333333333333333333333333333333333333333333333333
5,-0.68078256448109944661458333333333333333333333333333333333333333333333333333333333
6,1.5557846725814872317843967013888888888888888888888888888888888888888888888888889
7,0.20508947568827323497287810794890873015873015873015873015873015873015873015873016
8,-0.45964689779238907494656150303189716641865079365079365079365079365079365079365079
9,0.41014123385969551990387264829674305318734843474426807760141093474426807760141093
10,1.0482619455616495774009748170237718856313661713238536155202821869488536155202822
11,2.0539970766157056303726739738054794682100527520093356681898348565015231681898349
12,5.5285631702571701971007580139087863175860580201648734380532340601785046229490674
13,16.349599878268147953125629767242984874570258438853610159478520209857015412570968
14,51.909096644557296779076289997586940506852059968177610135648620888043398584073187
15,177.66479144715307766394680352522078361722627456058778367095336817057779985865717
16,652.46944096544692909874596935521293097937367405772668052959221317325581383714665
17,2559.4161758578796626286215917339050911711607495599987742847811293869483903428628
18,10681.753359496764115455512578095857202054039357838699354734061267930298482746766
19,47264.597346258799821925383491579080039998254241949656204850932535969000120720462
20,221025.61967094503800054952069507947844663578977952455827906684036301841836143364
21,1089224.8362858974430304521492764199892996961357810315665657953149608425331976633
22,5641998.0938435155378953021229326171775886401193491218405757165426021470686162776
23,30645294.687322085805980910835148808250519558640652268811114069521656178876650776
24,174170811.52646394882179506448276372084378747189279876745326991036014225494584773
25,1033742438.3152343979429581672607510808456395904122775738122976684180635674735731
26,6395721647.3764877662437932696913529010530731658564920158291854257685105428783452
27,41179776728.584128248114799296347762861921848821363448070172456808699309599026639
28,275503980303.04186352900983569303498635933454411142318435614864293919816628857945
29,1912505705564.4487921214183008150577592949981185756098290969316383706323726435562
30,13757331607078.860638818275344042100868082260340264089060119891292056155180235691
31,102420651954583.41520176843936165450684319287119398699668417081345548280686791015
32,788249494435841.75491558140400697976006943265070479543646356963633803535521068661
33,6264637609608317.1075654556075330390699413055959297439632108289368713026804621874
34,51362578603181882.793280046263141408607959075488869286779410745284018235382549371
35,434015701515876077.47195167832780973950746768442170774106756471026304610310049437
36,3776463033544726255.5764326515025862701847201380527097941228247517189147763093211
37,33808181949640612835.639404972779430061255150631724108130264394134945015257586035
38,311150946874886113231.25363203024570516714753407105731531209589427613734826173802
39,2941763819951844683439.6116147864252775671068691924105246026490125830685194162081
40,28551155189313554132401.595627353941140115295414219511883706672537945272226620015
41,284267030734979303429324.71100041547302087480020153437170979164983035682372689754
42,2901607264164145487691172.8723414138051359704774785517717607902421888856874659057
43,30345625911125570469638239.962905808403978294160349877201946054846819900881375811
44,324973191079684446173321546.051164460010253542584939169394767500326618454650747
45,3561666977427465140987287081.6647998100884742733596122836609458784124835835324684
46,39928659950566941211819088242.908739395546330545456721264423951148935110033217455
47,457639314976928138892795321602.63226016976811331078788269966544450326652017267501
48,5359942570956568537869611693530.6483205665543863335755672334211510878299441745921
49,64120239993059387137435481183118.820658375411212952531400887607562932990854817436
50,783135071583639504928337128766978.54670256963038932741483264244375154304089570176
51,9761148668059085225981836224531802.4428048929502846642366263680332704974928302464
52,124111339677058189328382510425669275.76719106287287574826514925565899155825577452
53,1609158356019708576900471331964684888.7140368849779961689636101677292896156709708
54,21266691523157611129642354665413048384.25770739332424970979389936117892642822913
55,286390171832502176251746352300242953723.09258044064756674409639546325498014594547
56,3928460112161172342410124640221390261712.2588212770468011584531223891566949571232
57,54871543367992446157919463572583059649519.298222604557971647158801780555051755107
58,780175541486444692359362939726091904237512.97019455317837826339632632324334116374
59,11288142490258858526845314174508930131983438.401194099618997663782731907680385639
60,166152536588467142763027545795326135299565155.28668433901493862758655212026575245
61,2487250871033958130599359705513382836682674155.193540886645729184342481371316546
62,37856314068910272386067360386146220049904042071.783210312561081871390858527206704
63,585659484972849021805647718096215906582252943396.75556028507817889044207130426459
64,9207165957096819355828073715258666552334885480483.1184875750756774570294801667615
65,147051730568073435086755123042787922866666291132671.39673248668762134328846842136
66,2385451491922936354291484927950020101909900181181310.1978365969088763969778112622
67,39293754031202718458945654452984767126173129731379619.05744017292623276587844819
68,657095189598689629707500587974865650095112858988305624.38430366054111400471377055
69,11152885504108092770290990137165641432553305406971163470.164573601947213509661811
70,192090382493877025762514992787205412983449459606857779085.64732608378445370926949
71,3356536706169836050113746854182118142450198661901152606952.1252958623746725616377
72,59491537563161621198157768833191626324206730848988233657142.077989616293759381596
73,1069326007051677526719437568990578135730433479276414963534193.660746628145148002
74,19488201137582904918761829598655095604537984967062999146534462.750312778798521991
75,360045945294294390323045919145507950511819742444848294885484297.59278113335607724
76,6741999603408047155044534060070291036692802097529412862514368186.4743712355874859
77,127934112180597414245517278242769462500534448529337847803341664035.60478758944966
78,2459660089941406906963903156256246625344293136473393966667275495854.2260068036685
79,47905034082297965276882346381434134795444034749689082084634910702304.563772025105
80,945001842121276399528777246213006581106649445521492286202638804384964.54432692515
81,18878154548545252618468906659452587773748502038117560463589271298452346.712543303
82,381850610327080058604886229594833016418462730959391875383497328249734282.37247929
83,7819300193867268955791899181593420017110166095446959791321277776376320525.5307319
84,162075634411794669956422679359481065581265777860587723817055527513030399562.08171
85,3400005239097694903563176387272026826729076897753231339071980629441525776175.4841
86,72175787461043526572916537792994045253148860098553947640944517799600018442253.931
87,1550219147707225200350428500256948731675785877738304709651952383660151098743766.5
88,33684121290572875663127384729896181903053736026566689301322123581350164222197124.0
89,7.4033827627810149082288011091160688015335487667671936023352571948232726464779904e+80
90,1.6457037018662465120688907749575099025520338672346720138530748397606686227030059e+82
91,3.6994266711059044888130908653508263059656721717954772348100944270134774630151921e+83
92,8.4086181825966188640916229158741694454153944813594962486976213196642840056363593e+84
93,1.9322777592743489609893673674489756700472523417508346215296453754162295397145841e+86
94,4.4886693776920820805213010822624429770657671060957872907486926660019659489114416e+87
95,1.0539459888490571453615385592230313939451460567293997652573657763939770188669568e+89
96,2.5010500110676682245772238869303045478694255512952095309643155901694235693044355e+90
97,5.9976528773977420960028344333168713087027894612042554523101118210102659940496841e+91
98,1.4532751961973365904173466747835406240064435888265365082552606281844853760455037e+93
99,3.5577514858770826956132473556654985992607632220564202206382422935007455443473098e+94
100,8.7987128327115558211565589533693862405334546736321016027264469143064273707610004e+95
101,2.1980317317204640774734313303618121541612175086514592909601562445329127299058402e+97
102,5.5459561574312604019797992790197103124321894765541866794730187707106537433898038e+98
103,1.4132005907219597023559861500419759762000913700217404827696365749052357279414927e+100
104,3.6364211427736746815290750567492811999252625160121509771164479952875225534989994e+101
105,9.4481421407872702543294153402840453189221460399237867331195274569272935582394211e+102
106,2.4784503725054579501528061789520310599605847851719594484274621218908847746410451e+104
107,6.563508505523710130259956611930190483134458971859763355336329199706173681730718e+105
108,1.7545877418294245842347735092253121739055770119216783815757363617683052398558942e+107
109,4.7343380428008924235204836812510049425142408160680125891357414976125480925781712e+108
110,1.2892917351981599420212434484146254482175750874442880631853225217560995269618029e+110
111,3.5433512435233967055765548989409375750116497839140087949464962743267461635285683e+111
112,9.8268032455561474252237122811278285273037262598996477764167810505685965471452647e+112
113,2.7498562484849679635280128005484120234015846606154733926383920694407319144876899e+114
114,7.7637698675164426864838032117521919436879795947755960060012619827554570610886708e+115
115,2.2113939579076107876810103987112975942619902219524552694649368674122412612532849e+117
116,6.3541411119800485158551355265518880447291720264039569617495852649462106540769147e+118
117,1.8416704304318322984045114998645051747586788550867908601992627406941335054495354e+120
118,5.3839239545273631333440622472781415556351555205307368823977891880886611476132241e+121
119,1.5873987452056797553213233554203660450677713331155679403514825389615123248727222e+123
120,4.7199997174128375381804839644364362816364871731730146024400126604320489499434734e+124
121,1.4152591543860922461659160316384104473465838753035853143288260284918182685982969e+126
122,4.278955607641871405292939821290588540707697123852651879749338823445989260891653e+127
123,1.3044205869630146029834081441593043573295662668999272375219027756420963971837588e+129
124,4.0090945416749225170494687210201246318519102865983801034505015282198527306712996e+130
125,1.2422097990488425537471043977451943789934790003999263945785327623377335206276132e+132
126,3.8800317277597908666002493775788411318989679352306492124431027020396925778458882e+133
127,1.2216291926743299091646960211573297643533643949348149560292850071239841767869483e+135
128,3.8768580075425618351391520688806012025211852207373641921253290744417457983643411e+136
129,1.2400230396868609267320697697964489956021126096118458543903139119666508173699109e+138
130,3.9972600354196149250089643394825972286249136547708386563537381334494126141036084e+139
131,1.2985290460103382544321401409993230247994367156191665053473304013622480879141441e+141
132,4.2508109430755087265770017410380044907148313705231119496426702038912669253788368e+142
133,1.4021594165645902840072805531811240461355065587251564497372680161416794250251525e+144
134,4.6601885529294526736754890077493537928756974185370252066621516706951002077973575e+145
135,1.5605060754688328516742069691785872564975928946543102032415675320471724538274035e+147
136,5.2645235343925842468899617446588176952226636987828937804608578861754523818056868e+148
137,1.7892063209255197905294105447909036969193260023478782996140644995039506981098952e+150
138,6.1255626157124978683027151679393231326341410374064502802461243339342005074192577e+151
139,2.1124797616744322212272387723666700829630455108974575250178409545335817842597626e+153
140,7.3379928715296848217342620285056026252443571781393312706432633135039043829463964e+154
141,2.5673060219358751296569647821279244141067844594585003647530609485094937331281738e+156
142,9.0463088400255143633537500097993871740503829563126549475313388417702785561111955e+157
143,3.210234106180453966648347000460140309438500711595655109614851022199095516847772e+159
144,1.147233805074513322379695660185609504140144343505173424921886407384924746877738e+161
145,4.1285335642238531453212540960869594015052912327973064143164447699652146326866781e+162
146,1.4960543360771982722054392477019404413222166643705994705564456828509098581612416e+164
147,5.4586579089714642523641254994935151098231070414878215776910975015080929622310046e+165
148,2.0053534781563924538865679703322340862765223133915580432483341859365645561281996e+167
149,7.4172411653225743871283545127019985596297319878606517445050981839174586952779776e+168
150,2.76197919878577858615365682045430728180753373138573654213270654162130726542772e+170
151,1.0353932864188633317913943295451282278283650660873058005414243578923491039236598e+172
152,3.9073101276060462550007315366052862305944607241417809695955332937339900452892623e+173
153,1.4842905892844560848741805734863416923943606727482936892575653005601596582542102e+175
154,5.6755723394004323234903099348328448851518382055371124690757461645710322938630795e+176
155,2.1843965578415034511229121581461114293696373273822792291841655008968093532447662e+178
156,8.4618641183094622850045333594030744828768354474015024538477262328202560864180548e+179
157,3.2990982060685608358399192848858326216145395668077401768388848243189885660133036e+181
158,1.2944974353124900401978543578696429820318171615597816579984915333502822571764946e+183
159,5.1117104789619422375652054810540582058707839962274046704736279915475492459398401e+184
160,2.0312948911111240495146606401105815806197216870904125293748165587859166997244684e+186
161,8.1227702575843547959018327246226169158849393757964326662574401053657712845498825e+187
162,3.2684574428066801055258200678946200308006111009772227540696900679951715428779672e+189
163,1.3233422749254515977041384965433418035183783043712498187014715468256078743075878e+191
164,5.391078416812579222921979154813269986979914310303989844144820781230351117034967e+192
165,2.2097179743681230784934547460612396626361588266361332423378543205262609411538725e+194
166,9.1125434136905369115672435031134791547677842828077178695933373915872772026154866e+195
167,3.7806629092475601151497453436687533794506514845315897513559348147640570535830115e+197
168,1.5779967368259439898360211216460397423537720169159924504909137822940405115270562e+199
169,6.6258018755178355903604571344772360158568604646094448873683896590476324294384723e+200
170,2.7986563784276260117828694571015553157791758257278372442241067566498224281508876e+202
171,1.1891161306247273816628873622342140049501720650345354520247306307810685636481217e+204
172,5.082149891516509286393014855003688522488666961454244707413069515073672312602384e+205
173,2.184762846592208759399921177598479315878168208569725522269020568145233871857735e+207
