k,a_k
0,1.0
1,0.63749092223021178164551844513757802394422693369409842560387340215939201316782224
2,0.47923900462962962962962962962962962962962962962962962962962962962962962962962963
3,0.70932008056684649224549166809920237562685853720636317262276720941657175406741351
4,1.1264939807461013410208047553726566072245084590763603109282121627800640146319159
5,2.1501085000731040473178355870859888449229218695273914519892298913914541295807032
6,4.9518215865676585493127768104049885123654366147888476801752217085245586998368587
7,13.409084568779374296962647421212306373648262028977146452724520936581522635618049
8,41.867819499363722251491850175519761712492387517490257022961500034213656233786408
9,148.31763563786420818052005826512078391825483252851772405407000959243591937049328
10,588.24006980347147332879062669635426605812256568888369357593649671552655150406998
11,2583.4424109096087427678733192033173191209292420029460387673261370531500368851419
12,12449.676523166814834961561351436528984484153115367750052105261125173852576541935
13,65327.045776295629107953835967314273800969741020148479824347193896842923450076846
14,370817.93847913036418318881692066272679468110973714733199834149207529080535263853
15,2264203.0105581500765536361124497215020653645867083237663771234925327408822115806
16,14799000.289313066674510185011416240150741487414516817799016924108320597385477925
17,103098029.85509760841266366482306222227882520317863892655891822397611967132840299
18,762650820.85278696582310761545915486246158921668600640585027895520703974999708467
19,5970313138.4130548510425759856042609448272076811049155514662071793703589802253954
20,49312484246.12518963825144314445560338798153894332791326030321264928195743810391
21,428576573080.84537824718640187241720024760921748129555809838529149022089892060539
22,3909736580913.4906131809053803565943663003424281960783488967626873635881551871217
23,37354847219666.343776978011253024981095470579609022659106441233019022162412970424
24,373030370387404.8794174818478733802075285968559260741585298505528695096559988975
25,3886247756155555.995273943487470755781207750903328299480506608481572527523677831
26,42165981970086704.69419031866985974416179682626636172988461283712979575540008316
27,475722098446048822.32171155632612867013652642591216419183670526928052476115844326
28,5572741353968197894.9466081597322943743749574926260706822384700385335822103289631
29,67689240088147970847.313172020902425814008469626741501675931569236499647485567926
30,851446252594084054199.14462291125112618821086850572060437885555309735692757958024
31,11078224389279420420841.897575226305574203665723773288052828578597750446718915292
32,148929285245436966864965.41412009706893689773847566420428733674284673885022437931
33,2066516608728643562460649.3127002981622912397980798139119567245673508234455114656
34,29568256781054757503012989.978167504951210777467433831106473845437359328559682391
35,435857659510454111448110421.81765109344534193599036441150155010588481558503202229
36,6613367942066500988103497364.6863811167896687375009979755278902301088140763812709
37,103206609867837331867840463182.08182409928180458817165307192030198260608099721099
38,1655259624900152563142653279227.7295002009601553165025681098976947201106526667628
39,27263595461949855024478476311090.95177548667500567114407321193623294658510557034
40,460849839261197369083620475508330.45316036332528417122645256910853158690272509709
41,7989342222448082947116175722041687.6107556726500238054698181936336629186254837935
42,141960592997474766960123223933677475.67006859784409553872290229827792699067747141
43,2583881883387214077925416900846670386.8410280792702784394428186523990440409790396
44,48148249279777565663217988691077756179.512402452389343844686602556244350810935097
45,918031266369256861528614041654184355496.34326067374726249794888068226648077888867
46,17901118923538178087432407901669761502831.213878486302156027566412090619869488995
47,356808341838863638759847667237746001983753.35169085885556155384378849173937091785
48,7266369410904815834161985237290748390293542.155516363184763676392649863083548877
49,151123398600586097731739142517986984757453915.04860222797679378743228427796762786
50,3208410122174289743613272186199607764551886997.5332107749691916817368837463109633
51,69504303604110814591599242182807661602473653597.024622226760028928461261326924341
52,1535762322937072053188427954816238805425532183513.37139262461147247838417090015
53,34598746132103463391100559244958680275449003340855.725205118415920614301750684477
54,794439111592011416146708203583143404025059002919463.88109409427838817204840040936
55,18585344476484533896687060418539928127736323597072964.502175251164785921319720483
56,442834890433126730944759857608456163719569602713202273.98537451983784345925603811
57,10743136149274422359994171998286508631614600688175210757.300249983356214360380571
58,265277386622546560220819473235977638509814189285349873013.92483977149651796808323
59,6665242357307474745432298726171223867022307331498817095339.1517871846456149135429
60,170352862079842902727067688992045328110584497948198485937525.51720088631761008117
61,4427679997533338681562127107027146594849528694459337978957211.1155339880758746934
62,116997330377099723549454841762907670019028403997293342850845870.5379304009079476
63,3142187914589488791063580303723273189344639605946018922522454881.4580845716185992
64,85749597195493818052283853073653191657953220119898635643358457567.027782420235954
65,2377204578034533160620943510602066104224572771495491458125419240707.9761396912857
66,66931374318722694349976727716663775544237960283817395929880135200399.490836243511
67,1913458502399228597210236782270975716301559001201047379541607400615492.0348230029
68,55530931619074289028807023992205368350903541592095165501002655830548889.75823356
69,1635614324505685710979030059083953206113682907481476630451711355916808169.5807231
70,48883594018781631959519669956004680757248214683842532743201178656860521040.220029
71,1482144563603913546745412406108211665915827303252273752688709267755663859711.164
72,45580043051460373916559593288808147556169618812966623856816692798941478620494.728
73,1421443532617843766120260397553280234137493901649237604247292189841794006350449.1
74,44943983572475116649869155360533254117921904805410800955658991013525645136251883.0
75,1.4405197355740750173549966515115759684006790480304962194871933028749304350944714e+81
76,4.6794344645480299772017152759077754656839959019103768318898395673296954830978602e+82
77,1.5403412184106384895267039556389907592101937727797838475377357074025990495084507e+84
78,5.137062289775529192012155380335051861672070397782714953526856787938819681532061e+85
79,1.7354571905697050178815221477713354090541986600618886586491147990314124329996268e+87
80,5.9380365905459138308999084682899641551297059563825345466964704706859073804856287e+88
81,2.0574639193818469195485953750285403002211756149611986457959660182861358324710991e+90
82,7.2179556391717692814238272502906753797619871948873923446023142705772637924005099e+91
83,2.5634373045620775108574095386415505929967140916091503480831551358769880456848571e+93
84,9.2149544333002517870706574977163743936956721027105504418283666093442069772731086e+94
85,3.3524531482711289927379595448931596644847386780600445450698391484719008648691081e+96
86,1.2341552552345511159247945576778431054872697792501996309057622348507356824451741e+98
87,4.5967870905117371303552281291109170661650652940803852574984768900271353843250628e+99
88,1.7320396834234023114181701268366492970071376613597209916975207152812071334736447e+101
89,6.6011990406553519916382069137514448057402434222211688262640689334995628054026659e+102
90,2.544446571924860291742362439225764467381237439760585661689589326987444073885055e+104
91,9.9177827485258579440585806102305367651950519769316752048909230628416585936602956e+105
92,3.9087062154330667500756501736303218728581173808253707759585984705804917581298059e+107
93,1.5573859737601332928089779548576562941752047608493231916762697626266594363773209e+109
94,6.2726783480240340373379944023624173374151196411120946742148311978999511306367132e+110
95,2.5536015968879368110152025635239201771791223384585698109500402212481902494508007e+112
96,1.0506244970270593957786432304584212217341823554043303151488440144561357084204671e+114
97,4.3680548717365809425211397268445939966286729180595250096899743241956331912689196e+115
98,1.8349648375849458986608396738979100860057335195594023038732853759563596428689203e+117
99,7.7879004075839331099531363207192387645433996109221760881452712471827322188463e+118
100,3.3390339233509530180313591075161231317662161963788152985533946954273736243020654e+120
101,1.4460549586057754968342144568181392869979596562345767498803073029164679277825505e+122
102,6.3251218758741750499289671121988330550793009747927700939887863114880180993028183e+123
103,2.7940269391828296230083311471612836308361732280510615552724651845110954931512924e+125
104,1.2463159750344468410717832655935115501643255009757970740242835042088559934835891e+127
105,5.613331765573929613739620904896594446300929891243152187748324961690595033016677e+128
106,2.5525138937704172201929177023292052911984755741241750538942860377168010988593615e+130
107,1.1717393364541221047758343510930378723248176863678610074105779144912095599444973e+132
108,5.4296367130302206598969426904312605366352980218927453401039665839809139026001545e+133
109,2.5395074861819499576010412714473904007590020259195757197257865438002711197200314e+135
110,1.1987537432998812814300729513225426164326571946799754669526013459443232711446088e+137
111,5.710520316231281609680436000071047812167080983646727707902624768231761606576669e+138
112,2.7450530598471765281361963237219203639721483025257115351012684081334350313450329e+140
113,1.3314349071174862425046898984753471388134242662530980520624181511013931500915079e+142
114,6.5155137907484547261748786801332098723638031750372057373917004665514975441598606e+143
115,3.2166435818138026010802713054723597165393332446168049329552043576813394085160648e+145
116,1.6019514981422244991510582777842343937558931913062165161591987039003895362955471e+147
117,8.0473911868004977852247367438245463081615302280184492246104067258888056376542436e+148
118,4.0774433580585384803087377388388115288388131297972716389367011459771274634675461e+150
119,2.0836085321135755297277604691999007730255821274009779804837255533411238989788772e+152
120,1.0737631914547421961337434246015678604285469381714510876411324734626587382225772e+154
121,5.5800031175324821625881202200883346525584553388375158030521155024674049156870603e+155
122,2.9239084665366424387328233672716144984203676763731172600520912664134525085738226e+157
123,1.5447807886001552501812876112811972028746872407973345758102621557142390165057511e+159
124,8.2283837884010794375682183762370009468741958306770064982722463807954412196371481e+160
125,4.4185332002100175230349631865946055778633549726897168114861186370151187867003364e+162
126,2.3918248736192923654965117596717749821438729876361129986124302380298854076771699e+164
127,1.3050901920058981818444190445507842732185031562912320035303727848536793648727769e+166
128,7.1776821903556838723702920022164469521180991649924949897138885523050215324145205e+167
129,3.9786300880046980397155488437489134790535011532354989765668097810902654559689194e+169
130,2.2226037609466036380296934171750130868821492348465486626293768933176843525157729e+171
131,1.2512485488468659289932879639322968571031519636094932044443172868831358415037574e+173
132,7.0982698064503252831528499783288793312683289585611895264916824291711538321265209e+174
133,4.0575464319539301103185424409629461356555700357026891834981101500875084919426621e+176
134,2.3369620483459818261951857799175963459628710975835265167433853071679488351349376e+178
135,1.3561022813636669116582011341026625322302607761051339313554575495904045983586509e+180
136,7.9279642602335473017856875294960748322796694500511539702989050423681283855059376e+181
137,4.6691255497446177225498559913683176520783365441717047366577158355973389072288455e+183
138,2.7700689645470840927191004687354787668388937881451511583126434807769458018153031e+185
139,1.6554026401878804464340811238230213824970951233842353683073849126534449636358245e+187
140,9.9644181235011930168228048782545955986495555735814719590704872674430880792652302e+188
141,6.0410580861322992128159583250836612941519833548748569709881673531347528224260629e+190
142,3.6886266595893709899672749943583456607287516605658994848709624589979050766258554e+192
143,2.2682199969325326426214061678357104712719052869755315058833350808791076015433e+194
144,1.4046007779619745241849637005497655075648383690439018702923377419508549650843101e+196
145,8.7588413604859480094807236683449424250794987455650438294472496393604719497478927e+197
146,5.4997823999350391459508067826547431786761466618570977359982697802492324867001298e+199
147,3.4771929924916662191119239964642270053348941909299076716937202658476380373365077e+201
148,2.2134828468131669792025818488000712978894168394256740668015589932529365349121842e+203
149,1.4186246827198975167402021603904261496591914313185206715733471416235358052773925e+205
150,9.1534123925915523322592530733257857660853283347602755081984607842304047655753533e+206
151,5.9457022703397622582862406876754521920171718240779425405422905561554359578628847e+208
152,3.8878419709177714337965633760884829232972579356330086672921608124145904674935737e+210
153,2.5590591593121687486567769849623624400384250782359577427010135923036550831133201e+212
154,1.6955067908009246246170478450803103939414098644821154771314767354533122109345814e+214
155,1.1307007519465127215530498556641946075305630939079455261585219460724447369771949e+216
156,7.5893828616361445168911144432591369364708662267816547021186636166293044561373084e+217
157,5.1269349442124524480668786681266253260534081063426589680233460524707031045226693e+219
158,3.4856507860737217686541284654007034441519401966407959775990998503015323524971622e+221
159,2.3848828627086506137703773321550301208351967609369642922888877551494692239515764e+223
160,1.6420635094276038347065499864931980957167661709331471717104992029683755393968164e+225
161,1.1377200022026489704624389827094982747198639901397733251691418406995802369278195e+227
162,7.9320679081335976295979335897749491261430167480707733396139770030241369243145738e+228
163,5.5645018538465607641617649514740878385531430657650020559978817271270887982634377e+230
164,3.9277013113590962678082473782131371325432648713902562076475303724086362239112327e+232
165,2.7893728512640983224059318763084922752381714278594046121817349533218150591486505e+234
166,1.9930330334302008922491900884061897560422810933669260517123356924529633844139592e+236
167,1.432670400997909846975436787554371276170434234195242877916363796834316034081105e+238
168,1.0360630572362677529690164394277278718827301397136491707554129804926386065343024e+240
169,7.5373490760343453048929443953367674131518103793603100404980142007721746720626452e+241
170,5.5160504268177351768967982797115841081643663643038142053760074986585888145828538e+243
171,4.0606895027364612488721945264638656683257809184275868828995992247238843385211345e+245
172,3.0068950560084884421445004059952332748617999095093770212435028410122284475689787e+247
173,2.2395916743593803329561451858514037740110709929590006667148117625958958293044897e+249
174,1.6777870070566225151887585672660036134612541423862946978203145708799625191556718e+251
175,1.2641764965516233126546621497832510176107975529179990575649322883804218232100631e+253
176,9.5800363794941190585981551387176532118243695617471613068166971898500850324707546e+254
177,7.301313382459510447142703179230993766358990568979837751812259125453218105786868e+256
178,5.5962252710760777124120754891239103207183783265228187981498145197424967407778146e+258
179,4.3135605275137737588547062388134023236765782272830601008819768471638277657857979e+260
180,3.3435622260208210695822543726520718493731118167738176196788031199224343816056557e+262
181,2.6061666239417794875541134199016593317452401543884244616679005565059782337915639e+264
182,2.042682184873612413436218059211674654621380793117236723053772256492406008947394e+266
183,1.6098745127481187798884404152680694062256541539863704453700256849667903742202501e+268
184,1.2757416701102366453827309678382807038250808795672543915253896727227039535079531e+270
185,1.0164826865004991837735904545571928641521485239075234866580116629111238046312873e+272
186,8.143121854655932376995810134943513208659934703807216984691910365700031172598933e+273
187,6.558777506648728059468970626865229119784238225373038148933686491903247529017109e+275
188,5.3110859559270695190790651869307892582755850086198873472593558812425664149636424e+277
189,4.3237424040413559333625602701326127079662199990252988858867816245455800900809329e+279
190,3.5386699602474267251441586214348239515970745082107355885617912658177054178766379e+281
191,2.9114673015539379006655626054525929956842762550747543719313146424623585099414909e+283
192,2.4080381178267725803439780242433629319680029276545477005754464060954774446515904e+285
193,2.0020848455587966409868725473379000895092303509550039472560718447190573725564564e+287
194,1.6732371628852823895480394907141837859630077816351707291321250689080554632051331e+289
195,1.405648621261292802135780351390265447545096322664601381499282290149795394485852e+291
196,1.1869399541216957308094402748201997735522661394425071284158183307747580481058651e+293
197,1.0074001641911573415634347678939086973504120576742624817305120671326015590685855e+295
198,8.5938006082610316554772759863464698995666471349999717204860554074297172537746576e+296
199,7.3683004798240080687762746883087271514056153167844448727402314422666703939352049e+298
200,6.3494646115679817309239949226944918155090993561532386176234015602327282775274214e+300
201,5.4989990581384242739750984806191078449405923757560012400916748410863886437559583e+302
202,4.7862578078654249352138445699743410463374880210840268667373669404096673844790874e+304
203,4.186621382455200567653026554785884247259111819449990829955060910680272602567245e+306
204,3.6802371259500154825036285062135802167879205151976528615902606557497234871777617e+308
205,3.2510368781323071819604369096858841563444961537718831511805719454221195773569514e+310
206,2.8859681570754573674967543771419778264656002857934579543434995134054763801757613e+312
207,2.5743902791496820420430494663130822104178478487696731641450242318808469805854263e+314
208,2.3075983498214262836429133946787398082088954998940315670903372085666795088817146e+316
209,2.0784467386237298056615304365597034792579846096638719598667240952520222863379898e+318
210,1.8810502233676561846823115312169641364711222943646137949422559312728496374197661e+320
