k,a_k
0,1.0
1,0.0
2,-1.25
3,-0.29462782549439480183368515087702043303534830737019751524514161208140259967960563
4,0.46875
5,-0.51559869461519090320894901403478575781185953789784565167899782114245454943930986
6,-1.4539930555555555555555555555555555555555555555555555555555555555555555555555556
7,-2.3083564006368878447237385704873699106117691046191814252465336125127748323111959
8,-5.9421115451388888888888888888888888888888888888888888888888888888888888888888889
9,-18.164757818380963246402484615176055356263125440941639672241128949387946364960607
10,-59.578886486235119047619047619047619047619047619047619047619047619047619047619048
11,-215.10922063499074714762194069172120441070493915527112715217550020594920001013575
12,-850.92548480249726723251028806584362139917695473251028806584362139917695473251029
13,-3657.9221913210420205604000573255875421693749972414733181485733170247711799740355
14,-16986.509022925720049414090832741626392420043213694007344800995594646388297181948
15,-84772.949224301901181793639546698037572267650467238363296260440619767767133595994
16,-452580.37211836567079500625294431098002526573955145383716812288240859669431098003
17,-2574210.0522189808941411651550622018993221057310351933021805890725933001852641479
18,-15542401.218376228316676875967533706203055115459583419606935186006320633010815257
19,-99288363.966455515182371156145440675666732624945638428926793025760237507060181953
20,-669123759.77116698525023465978395387850564114742625653162707490611491718107203808
21,-4744458080.43002307099059087408892072845482630450130093923312671732116837200873
22,-35309329711.467123273617205687672854749269799021618719903846465546814656864489309
23,-275206427218.91981621245904731795678021246852035508250987665029063872164746142521
24,-2241913921837.4803088331663121106360488791908492674422176691183085426319044678932
25,-19053174973791.524700854377252091542164031547918628264542602142572272512712304061
26,-168641374379163.49214173444858372603667946536732515222480369619477060138803341972
27,-1552122401843783.9095561590280254704412090122682626018159820097398854067895556088
28,-14832688201116919.403842532716341630908814288421710648565583800941244552381199339
29,-146979876829700294.19554349459151265301748070465369770017684716808125364367714895
30,-1508316594221129192.1577636047539085530543567825889534466882623070601708696165636
31,-16010789239012856962.739689904628485635243524754016134046516497850126736592307136
32,-175606483266870129557.31590178847959551285401352755612803382244000404277584087427
33,-1988052378759534594094.3765601306099664251228558035896733047784113150543835372673
34,-23208853953282461242932.458021605281907840191291468054934238475064879320824106453
35,-279140034899796735116246.27536191355859138817939003961450377449223941194751651225
36,-3455889144764028372643702.4806890631007609576647104518084477087557186753895832926
37,-44006236997761904149151102.337306488270733849969097852993486584437306056835045192
38,-575906631128969501594540325.9189257792311033037756345323871026487636602870239728
39,-7740297201178107868740996331.8924527276505908224713336523364688714201967988672695
40,-106765633435838779983825971598.16874964880064045791212548226401045502110891097374
41,-1510390505483827354060686095686.3566482865448627466314338633939635662810679078667
42,-21900827428642138457830172454517.850087266648044229703966818396120388771156476432
43,-325302840259308131887113640720711.91341583811593972224095064544274053338701259508
44,-4946816940915068949108922697509936.9617945344411078899692685853235565044868480401
45,-76973334180056583123949008611262404.770510091882854558157356942590307824116321896
46,-1224919456080423428485729020245069221.37692333855532500909120476389799767514369
47,-19925702010686689329555899556844545371.719385957288755373841063285154221009273189
48,-331172180180554085284738202844288986358.26375947445143611561447250186945292998727
49,-5621238636452948217608503162380526146687.8596031881583577630653075255630007825563
50,-97400247411959643637964986642445999592339.233895048732007290464662995479381023791
51,-1722096311933873155120035563486746877244849.7321485843547989918403042588328245643
52,-31056374632483633628238831873427046209187515.076625144948776965833998881382437048
53,-571048953230741931415589423369556369914164949.66833877745585833272273772910042327
54,-10701997280576318739761622872941400373663491965.444379367128009452749137989990746
55,-204348228214838621561648370531028149132598706146.99506015769539784621132475390594
56,-3974136152912369890431406094072473979289440945067.0571810706377978592268792653973
57,-78693173630028817029079259869616080310620890304591.99179572632424463765105495357
58,-1586045070665548077476112216579870776876437998373147.7338052182485549736522910757
59,-32527046260025095465418934078966273951822110767746597.061678663209658998073054563
60,-678571190922515993222745812360423558503585039496386078.77577957874718991415682431
61,-14396047474475886953058005129506599520276035112016177766.937507417899356526477003
62,-310504338789820892047596894414157458838715101201115881930.88528822618550211736404
63,-6806941632797146689257664893112084885286752976294885882233.5403516319575990152398
64,-151629414016758766005146539966193545351287375226623122803958.99160306660698014646
65,-3431252184766911708241049895575016138351759498562709562096906.5739768290099514252
66,-78859429762895380622667225399435966814337685644966059531798942.101336619549727673
67,-1840279251324997720649629548765026770255592055533833333762507535.9198843085802518
68,-43595664928158639945377127264970840566385477563165196605147488377.98242582523625
69,-1048179557817313454718628923804731018916644218337234577547495127443.7440618240869
70,-25572136375237155430808978714807032752133268914671524338800363597812.551947344842
71,-632916074756626122073833263116733627150343796249973228230645895474195.66535819324
72,-15888556862878425971401890992204562982448959057238543314615148431079089.855483781
73,-404478918696924068756693597641252287153074923191942979771528562765732401.99827028
74,-10439909031815158935983827781863610638304386589638243550162343465623480363.286506
75,-273152683081961655916365051737367542629507572897228283750277479232117655849.99344
76,-7243407083967893838098770594400076750929726496738657584893314762618647842375.2938
